word;Quality;Difficulty;NumOfMarks
овал;0;0;3
подарок;0;0;3
пол;0;0;3
понедельник;0;0;3
пост;0;0;3
постель;0;0;3
принц;0;0;3
радио;0;0;3
секунда;0;0;3
село;0;0;3
скорость;0;0;3
слон;0;0;3
стыд;0;0;3
суд;0;0;3
телевизор;0;0;3
флот;0;0;3
футболка;0;0;3
хор;0;0;3
царица;0;0;3
чемодан;0;0;3
червь;0;0;3
череп;0;0;3
шлем;0;0;3
доска;1;0;3
роза;1;0;3
роль;1;0;3
тигр;1;0;3
литература;2;0;3
ноготь;2;0;3
нож;2;0;3
обед;2;0;3
пиво;2;0;3
решка;2;0;3
цыпленок;2;0;3
автомобиль;0;0;4
баран;0;0;3
болото;0;0;3
бочка;0;0;3
бровь;0;0;3
валенок;0;0;3
валюта;0;0;3
варежка;0;0;3
глупость;0;0;3
градус;0;0;3
гриб;0;0;4
груда;0;0;3
дверь;0;0;3
жаба;0;0;3
железо;0;0;3
жрец;0;0;3
золото;0;0;3
икра;0;0;3
камень;0;0;4
кастрюл€;0;0;3
конь;0;0;3
король;0;0;3
коса;0;0;3
кровь;0;0;3
кролик;0;0;3
кукуруза;0;0;3
леди;0;0;3
мандарин;0;0;3
место;0;0;3
меч;0;0;3
море;0;0;3
мультфильм;0;0;3
овца;0;0;4
орел;0;0;3
орех;0;0;3
песок;0;0;4
пешка;0;0;3
пл€ж;0;0;3
пожар;0;0;3
пони;0;0;3
пуговица;0;0;3
ресторан;0;0;3
скульптор;0;0;3
снег;0;0;3
снеговик;0;0;3
сок;0;0;3
стекло;0;0;3
стена;0;0;3
такса;0;0;3
удочка;0;0;3
химик;0;0;3
чашка;0;0;3
штаны;0;0;3
штурвал;0;0;3
щи;0;0;3
банан;1;0;3
забор;1;0;3
ложка;2;0;3
площадь;2;0;3
актер;0;0;3
бабочка;0;0;3
барабан;0;0;3
берЄза;0;0;3
бревно;0;0;3
ведущий;0;0;3
веселье;0;0;3
гол;0;0;3
дождь;0;0;3
жираф;0;0;3
зима;0;0;3
клешн€;0;0;3
комар;0;0;3
комната;0;0;3
корень;0;0;3
кошелек;0;0;3
кровать;0;0;3
лошадь;0;0;3
л€гушка;0;0;3
макароны;0;0;3
матрос;0;0;3
мед;0;0;4
молодость;0;0;3
молоко;0;0;3
муж;0;0;3
ножка;0;0;3
оборотень;0;0;3
пар;0;0;3
парик;0;0;3
парта;0;0;3
пенси€;0;0;3
пирожное;0;0;3
писк;0;0;3
плащ;0;0;3
пространство;0;0;3
расческа;0;0;3
серебро;0;0;3
сова;0;0;3
тр€пка;0;0;3
убийца;0;0;3
уборка;0;0;3
узел;0;0;3
фен;0;0;3
хлеб;0;0;3
сад;1;0;3
сугроб;1;0;3
вишн€;2;0;3
котенок;2;0;3
попкорн;2;0;3
шишка;2;0;3
бабушка;0;0;3
балкон;0;0;3
банк;0;0;3
бант;0;0;3
брюнетка;0;0;3
бумага;0;0;3
варенье;0;0;3
глобус;0;0;3
грабли;0;0;3
гром;0;0;3
дорога;0;0;3
дорожка;0;0;3
дурак;0;0;3
за€ц;0;0;3
звук;0;0;3
злость;0;0;3
игрушка;0;0;3
капитан;0;0;3
кит;0;0;3
корона;0;0;3
куст;0;0;3
ластик;0;0;3
масло;0;0;3
молоток;0;0;3
муха;0;0;3
небо;0;0;3
огонь;0;0;3
океан;0;0;3
отец;0;0;3
палка;0;0;3
пачка;0;0;3
перемена;0;0;3
продукт;0;0;3
рассказ;0;0;3
резинка;0;0;3
рельс;0;0;3
ров;0;0;3
рэп;0;0;3
спутник;0;0;3
суши;0;0;3
тетрадь;0;0;3
тупик;0;0;3
флаг;0;0;3
щит;0;0;3
€блоко;0;0;3
мес€ц;1;0;3
покупка;1;0;3
почта;1;0;3
вода;2;0;3
запад;2;0;3
мама;2;0;3
одежда;2;0;3
река;2;0;3
башн€;0;0;3
бедность;0;0;3
бензин;0;0;3
билет;0;0;3
бой;0;0;3
буква;0;0;3
вилка;0;0;3
властелин;0;0;3
волна;0;0;3
волос;0;0;3
груша;0;0;3
дым;0;0;3
завод;0;0;3
изюм;0;0;3
индеец;0;0;3
кепка;0;0;3
кетчуп;0;0;3
клык;0;0;3
компас;0;0;3
кость;0;0;3
краткость;0;0;3
крупа;0;0;3
лестница;0;0;3
ливень;0;0;3
лодка;0;0;3
мажор;0;0;3
металл;0;0;3
миска;0;0;3
мышка;0;0;3
номер;0;0;3
обмен;0;0;3
оде€ло;0;0;3
одуванчик;0;0;3
панама;0;0;3
панда;0;0;3
пепельница;0;0;3
печь;0;0;3
поле;0;0;3
руль;0;0;3
сердце;0;0;3
сказка;0;0;3
стрелка;0;0;3
сухость;0;0;3
тонна;0;0;3
тормоз;0;0;3
торт;0;0;3
улыбка;0;0;3
фарш;0;0;3
физика;0;0;3
холл;0;0;3
цена;0;0;3
шут;0;0;3
этаж;0;0;3
булочка;1;0;3
напиток;1;0;3
солнце;1;0;3
елка;2;0;3
жир;2;0;3
лес;2;0;3
мангал;2;0;3
облако;2;0;3
рок-н-рол;2;0;3
стол;2;0;3
атом;0;0;3
бритва;0;0;3
букет;0;0;3
бык;0;0;3
вор;0;0;4
гусь;0;0;3
добро;0;0;3
звезда;0;0;3
кн€зь;0;0;3
кол;0;0;3
куб;0;0;3
лампа;0;0;3
лапша;0;0;3
линейка;0;0;3
мышеловка;0;0;3
наволочка;0;0;3
недел€;0;0;3
расписание;0;0;3
рисунок;0;0;3
сахар;0;0;3
танец;0;0;3
теленок;0;0;3
трава;0;0;3
черепаха;0;0;4
шприц;0;0;3
электричество;0;0;3
помидор;1;0;3
фильм;1;0;3
шуба;1;0;3
глаз;2;0;3
цвет;2;0;3
цветок;2;0;3
арбуз;0;0;3
бинт;0;0;3
брюки;0;0;3
будильник;0;0;3
веревка;0;0;3
ворона;0;0;3
гайка;0;0;3
горло;0;0;3
дача;0;0;3
динозавр;0;0;3
зверь;0;0;3
зоопарк;0;0;3
игла;0;0;3
картошка;0;0;3
мороженое;0;0;3
мороз;0;0;3
мотор;0;0;3
остров;0;0;3
печенье;0;0;3
простын€;0;0;3
пруд;0;0;3
речь;0;0;3
свеча;0;0;3
семь€;0;0;3
сосед;0;0;3
сосна;0;0;3
студент;0;0;3
туз;0;0;3
утюг;0;0;3
файл;0;0;3
холм;0;0;3
холодильник;0;0;3
кафе;1;0;3
удаление;1;0;3
воздух;2;0;3
ворота;2;0;3
нос;2;0;3
бассейн;0;0;3
будка;0;0;3
вес;0;0;3
весна;0;0;3
ворон;0;0;3
гнездо;0;0;3
желудок;0;0;3
кашель;0;0;3
кора;0;0;3
минор;0;0;3
молчание;0;0;3
мышца;0;0;3
огрызок;0;0;3
преподаватель;0;0;3
свекла;0;0;3
снежинка;0;0;3
сор;0;0;3
сорока;0;0;3
стог;0;0;3
сыр;0;0;3
табуретка;0;0;3
ток;0;0;3
томат;0;0;3
труд;0;0;3
угол;0;0;3
хвост;0;0;3
шов;0;0;3
шорты;0;0;3
€д;0;0;3
зло;1;0;3
лото;1;0;3
роман;1;0;3
зуб;2;0;3
квартира;2;0;3
кукла;2;0;3
тупость;2;0;3
€года;2;0;3
аптека;0;0;3
крыло;0;0;3
морда;0;0;3
отдых;0;0;3
пирожок;2;0;3
бутерброд;0;0;3
животное;0;0;3
колбаса;0;0;3
мэр;0;0;3
овощ;0;0;3
том;0;0;3
шоу;0;0;3
блин;1;0;3
щенок;2;0;3
жук;0;0;3
отметка;0;0;3
пузырь;0;0;3
пух;0;0;3
спам;0;0;3
сушка;0;0;3
карты;1;0;3
левша;1;0;3
поражение;1;0;3
палец;2;0;3
холод;2;0;3
автомат;0;0;3
антракт;0;0;3
артист;0;0;4
болт;0;0;4
боров;0;0;4
браслет;0;0;3
бросок;0;0;3
бусы;0;0;4
вешалка;0;0;3
вой;0;0;4
воротник;0;0;4
голос;0;0;3
горизонт;0;0;3
дата;0;0;3
дно;0;0;5
жизнь;0;0;3
залог;0;0;4
заложник;0;0;3
з€ть;0;0;3
йогурт;0;0;3
карта;0;0;3
кипа;0;0;3
кол€ска;0;0;3
комисси€;0;0;3
кран;0;0;3
крапива;0;0;4
крест;0;0;3
крива€;0;0;3
крошка;0;0;3
кубок;0;0;3
курок;0;0;3
линза;0;0;3
малина;0;0;3
масса;0;0;3
матч;0;0;3
министр;0;0;3
общество;0;0;3
олень;0;0;3
пакет;0;0;3
петл€;0;0;3
пилотаж;0;0;3
пингвин;0;0;3
плен;0;0;3
подкова;0;0;3
подсолнух;0;0;3
подушка;0;0;3
порох;0;0;3
правило;0;0;3
проводник;0;0;3
процесс;0;0;4
развод;0;0;3
реклама;0;0;4
ресница;0;0;4
робот;0;0;3
рынок;0;0;3
сало;0;0;3
слава;0;0;3
слив;0;0;3
ссора;0;0;3
старение;0;0;3
степь;0;0;3
сторож;0;0;3
сумка;0;0;4
таракан;0;0;3
тачка;0;0;3
текст;0;0;3
температура;0;0;3
тень;0;0;3
термометр;0;0;4
тоска;0;0;3
удар;0;0;4
фартук;0;0;3
филин;0;0;3
философ;0;0;3
фотоаппарат;0;0;3
черв€к;0;0;4
шоссе;0;0;3
экран;0;0;3
эмоци€;0;0;3
€вление;0;0;3
осень;1;0;4
борода;2;0;5
брызги;2;0;3
компьютер;2;0;3
перо;2;0;3
стул;2;0;3
абрикос;0;0;4
авокадо;0;0;3
авоська;0;0;3
автограф;0;0;3
баранка;0;0;3
бельЄ;0;0;3
библиотека;0;0;3
бисер;0;0;3
блокнот;0;0;3
брюхо;0;0;3
бублик;0;0;3
буханка;0;0;3
вера;0;0;3
весы;0;0;3
вещь;0;0;3
виза;0;0;3
вирус;0;0;3
висок;0;0;3
водопад;0;0;3
волк;0;0;3
вошь;0;0;3
вулкан;0;0;3
галстук;0;0;3
генерал;0;0;3
гимн;0;0;3
гир€;0;0;3
график;0;0;3
грех;0;0;3
гр€зь;0;0;3
двигатель;0;0;3
движение;0;0;3
дева;0;0;3
деление;0;0;3
деталь;0;0;3
детство;0;0;3
джинсы;0;0;3
диплом;0;0;3
дневник;0;0;3
дракон;0;0;3
дудочка;0;0;3
дырка;0;0;3
желание;0;0;3
желе;0;0;3
заколка;0;0;3
запрет;0;0;3
звонок;0;0;3
земл€;0;0;3
зме€;0;0;3
иероглиф;0;0;3
инструмент;0;0;3
искусство;0;0;4
кактус;0;0;3
календарь;0;0;3
канистра;0;0;3
капот;0;0;3
караван;0;0;3
карета;0;0;3
карнавал;0;0;3
картон;0;0;3
картофель;0;0;3
карусель;0;0;3
кенгуру;0;0;3
кентавр;0;0;3
кип€тильник;0;0;3
клавиатура;0;0;3
клей;0;0;3
клЄн;0;0;3
кличка;0;0;3
клуб;0;0;3
клюв;0;0;3
кнут;0;0;3
коготь;0;0;3
коктейль;0;0;3
коллега;0;0;3
колодец;0;0;3
колони€;0;0;3
колпачок;0;0;3
комментарий;0;0;3
комплимент;0;0;3
континент;0;0;3
корова;0;0;4
корт;0;0;3
кратер;0;0;3
крик;0;0;3
крыша;0;0;3
кукушка;0;0;3
курс;0;0;3
лев;0;0;3
лейка;0;0;3
лента;0;0;3
лень;0;0;3
лиса;0;0;3
лифт;0;0;3
лось;0;0;3
маги€;0;0;3
магнит;0;0;3
мелоди€;0;0;3
метель;0;0;4
мечта;0;0;3
миф;0;0;3
мода;0;0;3
модель;0;0;3
молни€;0;0;3
мыльница;0;0;3
народ;0;0;3
паразит;0;0;3
педаль;0;0;3
пейзаж;0;0;3
полотенце;0;0;3
поток;0;0;3
потоп;0;0;3
протокол;0;0;3
пустын€;0;0;3
радость;0;0;3
струна;0;0;3
сухарь;0;0;3
счЄт;0;0;3
сюрприз;0;0;3
тайна;0;0;3
татуировка;0;0;3
творог;0;0;3
теорема;0;0;3
тест;0;0;3
топор;0;0;3
траур;0;0;3
троллейбус;0;0;3
трон;0;0;3
тропа;0;0;3
труп;0;0;3
турист;0;0;3
тушь;0;0;3
удача;0;0;3
укроп;0;0;3
ум;0;0;3
умножение;0;0;3
факт;0;0;3
факультет;0;0;3
фамили€;0;0;3
фирма;0;0;3
фокус;0;0;3
фонарь;0;0;3
хими€;0;0;3
хрен;0;0;3
чехол;0;0;3
школьник;0;0;3
шорох;0;0;3
шум;0;0;3
шуруп;0;0;3
экватор;0;0;3
эльф;0;0;3
эхо;0;0;3
юбилей;0;0;3
€зык;0;0;3
€щерица;0;0;3
€щик;0;0;3
американец;1;0;3
гиппопотам;1;0;3
интернет;1;0;3
картина;1;0;3
кисть;1;0;3
ковер;1;0;3
ноутбук;1;0;3
пароль;1;0;4
свет;1;0;3
век;2;0;3
велосипед;2;0;3
выборы;2;0;3
газета;2;0;3
гастроли;2;0;3
дура;2;0;3
жена;2;0;3
им€;2;0;3
клумба;2;0;3
козел;2;0;3
лЄд;2;0;3
листопад;2;0;3
пот;2;0;3
пузо;2;0;3
тепло;2;0;3
автобус;0;1;3
автор;0;1;4
адвокат;0;1;3
азбука;0;1;3
альбом;0;1;3
архипелаг;0;1;3
асфальт;0;1;3
банкомат;0;1;3
безопасность;0;1;3
блеск;0;1;3
борьба;0;1;3
бычок;0;1;3
вал;0;1;3
вафл€;0;1;3
вертолЄт;0;1;3
весло;0;1;3
виски;0;1;3
вождь;0;1;3
волонтЄр;0;1;3
воронка;0;1;3
гостиница;0;1;3
грамота;0;1;3
грань;0;1;3
гриф;0;1;3
давление;0;1;3
дес€ток;0;1;3
джокер;0;1;3
духи;0;1;3
дюжина;0;1;3
единица;0;1;3
единство;0;1;3
жало;0;1;3
жар;0;1;3
журнал;0;1;3
загадка;0;1;3
зажигалка;0;1;4
закрытие;0;1;3
зал;0;1;3
замена;0;1;3
заноза;0;1;3
защита;0;1;3
здоровье;0;1;3
значок;0;1;3
зной;0;1;3
зубочистка;0;1;3
казак;0;1;3
канат;0;1;3
каток;0;1;3
килограмм;0;1;3
кино;0;1;3
клавиша;0;1;3
ключ;0;1;3
кнопка;0;1;3
колесо;0;1;3
кольцо;0;1;3
команда;0;1;3
кондуктор;0;1;3
конструктор;0;1;3
корм;0;1;3
кредит;0;1;4
кур€тник;0;1;3
лавка;0;1;3
ледник;0;1;3
лекци€;0;1;3
леопард;0;1;3
любовь;0;1;3
марафон;0;1;3
маска;0;1;3
мастер;0;1;3
меню;0;1;3
мешок;0;1;3
микроволновка;0;1;3
мишень;0;1;3
молот;0;1;3
моль;0;1;3
мука;0;1;3
мушкетер;0;1;3
население;0;1;3
ненависть;0;1;3
обида;0;1;3
оленина;0;1;3
оливье;0;1;3
олово;0;1;3
опыт;0;1;3
орден;0;1;3
пам€тник;0;1;3
парус;0;1;3
пастила;0;1;3
пауза;0;1;3
перепонка;0;1;3
переправа;0;1;3
пещера;0;1;3
письмо;0;1;3
плам€;0;1;3
план;0;1;3
планшет;0;1;3
платок;0;1;3
плевок;0;1;3
плод;0;1;3
побег;0;1;3
подиум;0;1;3
полюс;0;1;3
попугай;0;1;3
портрет;0;1;3
пор€док;0;1;3
посуда;0;1;3
преми€;0;1;3
призер;0;1;3
приключение;0;1;3
приставка;0;1;3
путешествие;0;1;3
рак;0;1;3
раковина;0;1;3
рама;0;1;3
ром;0;1;3
рубин;0;1;3
секта;0;1;3
сила;0;1;3
синагога;0;1;3
си€ние;0;1;3
скат;0;1;3
скатерть;0;1;3
скипетр;0;1;3
след;0;1;3
слепень;0;1;3
смесь;0;1;3
солдат;0;1;3
соловей;0;1;3
сотн€;0;1;3
статус;0;1;3
стелька;0;1;3
степень;0;1;3
стиль;0;1;3
страна;0;1;3
счастье;0;1;3
счетчик;0;1;3
телевидение;0;1;3
термос;0;1;3
тополь;0;1;3
транспорт;0;1;3
тревога;0;1;3
ударник;0;1;3
унитаз;0;1;3
учЄба;0;1;3
фасоль;0;1;3
фата;0;1;3
фонтан;0;1;3
хмель;0;1;3
целина;0;1;3
цель;0;1;3
циркуль;0;1;3
чайка;0;1;3
чайник;0;1;3
чат;0;1;4
чистота;0;1;3
швабра;0;1;3
шоколад;0;1;3
штопор;0;1;3
элемент;0;1;3
€сли;0;1;3
вечер;1;1;3
концерт;1;1;3
ручка;1;1;3
фотограф;1;1;3
звездочка;2;1;3
каблук;2;1;3
космос;2;1;3
мышонок;2;1;3
негр;2;1;4
птица;2;1;3
седло;2;1;3
часы;2;1;3
абажур;0;1;3
арм€нин;0;1;3
атаман;0;1;3
баранина;0;1;3
бас;0;1;3
басн€;0;1;3
ба€н;0;1;3
бинокль;0;1;3
близнец;0;1;3
блог;0;1;3
боль;0;1;3
ботинок;0;1;3
бульвар;0;1;3
вилы;0;1;3
виолончель;0;1;3
воз;0;1;3
волшебник;0;1;3
воскресение;0;1;3
гамма;0;1;3
град;0;1;3
гроб;0;1;3
грузин;0;1;3
гуашь;0;1;3
губка;0;1;3
дело;0;1;3
диез;0;1;3
душа;0;1;3
дырокол;0;1;3
жаворонок;0;1;3
задача;0;1;3
зеленка;0;1;3
истори€;0;1;3
карандаш;0;1;3
кл€тва;0;1;3
колонка;0;1;3
конверт;0;1;3
корица;0;1;3
косинус;0;1;3
котик;0;1;3
кража;0;1;4
лагерь;0;1;3
линолеум;0;1;3
лужа;0;1;3
луза;0;1;3
малыш;0;1;3
мачеха;0;1;3
мегафон;0;1;3
меньшинство;0;1;3
мотив;0;1;3
оборот;0;1;3
обувь;0;1;3
опера;0;1;3
отверстие;0;1;3
отражение;0;1;3
отчим;0;1;3
ошибка;0;1;3
палатка;0;1;3
переход;0;1;3
пила;0;1;3
пират;0;1;4
повесть;0;1;3
поворот;0;1;3
подгузник;0;1;3
позици€;0;1;3
полдник;0;1;3
половина;0;1;3
пословица;0;1;3
право;0;1;3
практика;0;1;3
примус;0;1;3
прит€жение;0;1;3
пропеллер;0;1;3
процент;0;1;3
прыжок;0;1;3
птенец;0;1;3
пуд;0;1;3
пульт;0;1;3
ребенок;0;1;3
сапог;0;1;3
сауна;0;1;3
свадьба;0;1;3
свинь€;0;1;3
сигарета;0;1;3
скотч;0;1;3
скрепка;0;1;3
скрипка;0;1;3
сосок;0;1;3
состав;0;1;3
срыв;0;1;3
стадион;0;1;3
страх;0;1;3
стрелок;0;1;3
тема;0;1;3
торговл€;0;1;3
турникет;0;1;3
тюрбан;0;1;3
ужас;0;1;3
украинец;0;1;3
уют;0;1;3
финал;0;1;3
хобби;0;1;3
художник;0;1;3
царство;0;1;3
чудовище;0;1;3
этюд;0;1;3
€дро;0;1;3
селедка;2;1;3
аккордеон;0;1;3
алмаз;0;1;3
ангел;0;1;3
батарейка;0;1;3
борец;0;1;3
вальс;0;1;3
веер;0;1;3
взрыв;0;1;3
вид;0;1;3
винтик;0;1;3
водка;0;1;3
гарем;0;1;3
гитарист;0;1;3
голубь;0;1;3
гороскоп;0;1;3
горох;0;1;3
гудок;0;1;3
демон;0;1;3
динго;0;1;3
договор;0;1;3
дуэль;0;1;3
еда;0;1;3
жадина;0;1;3
заварка;0;1;3
запонка;0;1;3
зеркало;0;1;3
злодей;0;1;3
знак;0;1;3
калькул€тор;0;1;3
карман;0;1;3
клин;0;1;3
клоп;0;1;3
конспект;0;1;3
курага;0;1;3
лезвие;0;1;3
лишай;0;1;3
локомотив;0;1;3
лупа;0;1;4
монитор;0;1;3
муфта;0;1;3
налог;0;1;3
ностальги€;0;1;3
обезь€на;0;1;3
овс€нка;0;1;3
пам€ть;0;1;3
парковка;0;1;3
паук;0;1;3
пистолет;0;1;4
питон;0;1;3
полька;0;1;3
порода;0;1;3
похороны;0;1;3
принцип;0;1;3
причина;0;1;3
пр€тки;0;1;3
путь;0;1;3
ракета;0;1;3
решение;0;1;3
сдача;0;1;3
симптом;0;1;3
симфони€;0;1;3
синица;0;1;3
скелет;0;1;3
снежок;0;1;3
ступа;0;1;3
темп;0;1;3
терапевт;0;1;3
товар;0;1;3
фальшь;0;1;3
фрамуга;0;1;3
хом€к;0;1;3
шерсть;0;1;3
штора;0;1;3
€беда;0;1;3
€рость;0;1;3
пельмень;1;1;3
наказание;2;1;3
сумма;2;1;3
анекдот;0;1;3
бабка;0;1;3
блик;0;1;3
бокал;0;1;3
вечность;0;1;3
возраст;0;1;3
вым€;0;1;3
гранит;0;1;3
грива;0;1;3
дуб;0;1;3
зебра;0;1;3
ипотека;0;1;3
итог;0;1;3
капуста;0;1;3
катушка;0;1;3
кисель;0;1;3
копилка;0;1;3
коралл;0;1;3
культ;0;1;3
Ћќ∆№;0;1;3
луковка;0;1;3
младенец;0;1;3
молочник;0;1;3
морковь;0;1;3
мудрец;0;1;3
пантомима;0;1;3
парад;0;1;3
парикмахер;0;1;3
паста;0;1;3
пекарь;0;1;3
пицца;0;1;3
православие;0;1;3
прививка;0;1;3
призыв;0;1;3
припев;0;1;3
пробор;0;1;3
промах;0;1;3
пр€ник;0;1;3
пугало;0;1;3
ртуть;0;1;3
серенада;0;1;3
сеть;0;1;3
смола;0;1;3
смычок;0;1;3
солома;0;1;4
спр€жение;0;1;3
стать€;0;1;3
стикер;0;1;3
стоимость;0;1;3
труба;0;1;3
фе€;0;1;3
фундук;0;1;3
хлопок;0;1;3
храбрость;0;1;3
экзамен;0;1;3
безе;2;1;3
перчатки;2;1;3
€ичко;2;1;4
архитектура;0;1;3
берег;0;1;3
бомж;0;1;3
брод;0;1;3
брусника;0;1;3
голосование;0;1;3
грызун;0;1;3
джунгли;0;1;3
доброта;0;1;3
ежик;0;1;3
журналист;0;1;3
заказ;0;1;3
защитник;0;1;3
знакомство;0;1;3
иголка;0;1;3
кадр;0;1;3
кинотеатр;0;1;3
клен;0;1;3
клиент;0;1;3
конюшн€;0;1;3
координата;0;1;3
кувшин;0;1;3
лапа;0;1;3
маслина;0;1;3
мелочь;0;1;3
надежда;0;1;3
нацизм;0;1;3
носорог;0;1;3
окрошка;0;1;3
оливка;0;1;3
оружие;0;1;3
паутина;0;1;3
пианино;0;1;3
пища;0;1;3
планета;0;1;4
погода;0;1;3
подлива;0;1;3
поздравление;0;1;3
полка;0;1;3
пончик;0;1;3
поручик;0;1;3
признание;0;1;3
провод;0;1;3
протестант;0;1;3
п€тка;0;1;3
растение;0;1;3
реактор;0;1;3
редакци€;0;1;3
рефрен;0;1;3
ромашка;0;1;3
рубашка;0;1;3
ружьЄ;0;1;3
свечка;0;1;3
сервис;0;1;3
спор;0;1;3
станци€;0;1;3
стук;0;1;3
табурет;0;1;3
товарищ;0;1;3
уравнение;0;1;3
учебник;0;1;3
ушиб;0;1;3
хаос;0;1;3
шаверма;0;1;3
щупальце;0;1;3
лак;1;1;3
логин;1;1;3
повар;1;1;3
сука;2;1;3
фантик;2;1;3
броненосец;0;1;3
во€ж;0;1;3
гвоздь;0;1;3
глазок;0;1;3
глубина;0;1;3
деревн€;0;1;3
дит€;0;1;3
домино;0;1;3
жара;0;1;3
журавль;0;1;3
закат;0;1;3
зола;0;1;3
изба;0;1;3
кладбище;0;1;3
клеймо;0;1;3
колокольчик;0;1;3
колос;0;1;3
кружка;0;1;3
крушение;0;1;3
крышка;0;1;3
мазь;0;1;3
матрица;0;1;3
ма€тник;0;1;3
мил€;0;1;3
мозоль;0;1;3
наука;0;1;3
наци€;0;1;3
осел;0;1;3
открытие;0;1;3
павлин;0;1;3
папка;0;1;3
пересадка;0;1;3
перст;0;1;3
платформа;0;1;3
потолок;0;1;3
проспект;0;1;3
протез;0;1;3
радуга;0;1;3
салат;0;1;3
сани;0;1;3
скалолаз;0;1;3
сметана;0;1;3
солонка;0;1;3
спад;0;1;3
срам;0;1;3
сувенир;0;1;3
сырость;0;1;3
терновник;0;1;3
ткань;0;1;3
треть;0;1;3
фортепиано;0;1;3
хитрость;0;1;3
хоровод;0;1;3
цифра;0;1;3
чемпионат;0;1;3
черника;0;1;3
четки;0;1;3
шаг;0;1;3
шахматы;0;1;3
близорукость;1;1;3
набор;1;1;3
выбор;2;1;3
лист;2;1;3
подошва;2;1;3
поезд;2;1;3
сережка;2;1;4
число;2;1;3
бедро;0;1;3
безрыбье;0;1;3
бригада;0;1;3
вагон;0;1;3
винт;0;1;3
витамин;0;1;3
вход;0;1;3
горшок;0;1;3
диван;0;1;3
древо;0;1;3
